Date,Open,High,Low,Close,Volume
2012-05-29,41.43,41.43,41.43,41.43,47
2012-05-30,41.43,41.43,41.43,41.43,5
2012-05-31,41.454,41.78,41.454,41.78,454
2012-06-01,41.615,41.714,41.615,41.714,170
2012-06-04,41.714,41.714,41.714,41.714,1
2012-06-05,39.93,39.93,39.93,39.93,227
2012-06-06,41.438,41.438,40.115,40.115,322
2012-06-08,40.451,40.451,40.362,40.362,412
2012-06-11,41,41,41,41,250
2012-06-12,42.055,42.055,40.732,40.732,445
2012-06-13,41.2,41.2,41.157,41.157,186
2012-06-14,40.751,40.751,40.751,40.751,22
2012-06-15,40.6,40.6,40.6,40.6,28
2012-06-18,40.778,41.017,40.469,41.017,267
2012-06-19,41.017,41.017,40.98,40.98,186
2012-06-20,40.892,40.943,40.892,40.933,580
2012-06-21,40.943,40.943,40.663,40.663,390
2012-06-22,40.82,40.82,40.556,40.556,187
2012-06-25,42.225,42.225,40.469,40.469,288
2012-06-26,40.283,40.283,40.283,40.283,11
2012-06-27,40.186,40.556,40.186,40.504,137
2012-06-28,40.856,41.2,40.856,41.085,176
2012-06-29,40.824,40.824,40.354,40.7,197
2012-07-03,40.971,40.971,40.91,40.91,75
2012-07-05,43.159,43.159,41.262,42.038,133
2012-07-06,41.519,41.519,41.519,41.519,5
2012-07-09,42.029,42.029,42.029,42.029,58
2012-07-13,42.055,42.055,41.112,41.325,84
2012-07-16,41.472,41.472,41.472,41.472,193
2012-07-17,41.527,41.527,41.527,41.527,17
2012-07-18,41.094,41.598,41.094,41.578,306
2012-07-19,41.535,41.535,41.535,41.535,569
2012-07-20,41.438,41.625,41.438,41.501,235
2012-07-23,41.914,41.914,41.914,41.914,14
2012-07-24,41.57,41.57,41.57,41.57,19
2012-07-25,41.34,41.34,41.173,41.173,267
2012-07-26,40.803,40.803,40.469,40.469,264
2012-07-27,41.008,41.008,41.008,41.008,22
2012-07-30,41.262,41.262,41.262,41.262,20
2012-08-01,41.288,41.288,41.288,41.288,10
2012-08-02,41.173,41.173,41.173,41.173,22
2012-08-03,41.262,41.262,41.234,41.234,224
2012-08-06,40.926,40.926,40.926,40.926,194
2012-08-07,40.69,40.69,40.69,40.69,125
2012-08-09,41.077,41.535,41.017,41.535,161
2012-08-16,41.704,41.879,41.333,41.333,393
